id,district,county,subcounty,location_id,code
68,kyankwanzi,kiboga,gayaza,827,3pD5TNmnGrRA
69,kyankwanzi,kiboga,kyankwanzi,828,M07jeFLh0mBW
70,kyankwanzi,kiboga,mulagi,829,rCME1rGgvcpR
71,kyankwanzi,kiboga,nkandwa,0,0
72,kyankwanzi,kiboga,nsambya,830,oySYKugpsnno
73,kyankwanzi,kiboga,ntwetwe,831,pC8DpFZyrDIe
74,kyankwanzi,kiboga,ntwetwe town council,832,C2SFKnsYaoAv
75,kyankwanzi,kiboga,wattuba,833,O2JjlbM8ESdv
76,luwero,bamunanika,bamunanika,883,FEL2uSwT2SXZ
77,luwero,bamunanika,kalagala,886,nRGpPFrMpMKQ
78,luwero,bamunanika,kamira,887,0Pu75TCv1Im2
79,luwero,bamunanika,kikyusa,889,IWj6Ss4MZEeC
80,luwero,bamunanika,zirobwe,895,r1iZVFzpbYmQ
81,luwero,katikamu,bombo town council,884,Li0oclJdoOFa
82,luwero,katikamu,butuntumula,885,c2zqQtMVrifJ
83,luwero,katikamu,katikamu,888,eNrTyjVvyBJO
84,luwero,katikamu,luweero town council,891,IJicEIkXRMQp
85,luwero,katikamu,luwero,890,yhxo2O7jNu8K
86,luwero,katikamu,makulubita,892,bqaWFeCPjzOg
87,luwero,katikamu,nyimbwa,893,ljoQPH51Kmep
